sports,league,round,date,home team,away team,home team total goal,away team total goal,result,odds_1,odds_x,odds_2,match_id,home_xg,away_xg
football,Bundesliga,Round 22,14/02/,Hamburger SV,Union Berlin,3,2,0,2.35,3.33,3.28,g_1_ltFUkcE7,2.06,2.13
football,Bundesliga,Round 22,14/02/,Hoffenheim,Freiburg,3,0,0,1.77,4.0,4.62,g_1_SQQLiJqe,1.71,0.78
football,Bundesliga,Round 22,14/02/,Werder Bremen,Bayern Munich,0,3,2,8.61,6.39,1.32,g_1_rLTZ0NM8,0.81,1.94
football,Bundesliga,Round 22,16/02/,RB Leipzig,Wolfsburg,2,2,1,1.52,4.88,6.01,g_1_SComwKU1,2.94,0.62
football,Bundesliga,Round 22,15/02/,Augsburg,Heidenheim,1,0,0,1.94,3.84,3.89,g_1_zJ8EguFr,1.94,1.09
football,Bundesliga,Round 23,22/02/,RB Leipzig,Dortmund,2,2,1,2.04,4.03,3.42,g_1_23wbiAkC,1.9,1.61
football,Bundesliga,Round 23,21/02/,Bayern Munich,Eintracht Frankfurt,3,2,0,1.09,14.2,23.0,g_1_Gn7GD06E,2.8,2.34
football,Bundesliga,Round 23,21/02/,FC Koln,Hoffenheim,2,2,1,3.55,3.88,2.03,g_1_lK1u4mZH,1.1,1.7
football,Bundesliga,Round 23,21/02/,Union Berlin,Bayer Leverkusen,1,0,0,3.43,3.26,2.31,g_1_Es7G9i5t,0.54,0.93
football,Bundesliga,Round 23,21/02/,Wolfsburg,Augsburg,2,3,2,2.26,3.5,3.3,g_1_ATt6klKO,1.6,1.79
football,Bundesliga,Round 23,21/02/,Mainz,Hamburger SV,1,1,1,2.09,3.52,3.72,g_1_r1NdgWKa,1.53,0.7
football,Bundesliga,Round 23,23/02/,Heidenheim,Stuttgart,3,3,1,4.46,4.46,1.72,g_1_G63X5945,2.12,2.23
football,Bundesliga,Round 23,23/02/,St. Pauli,Werder Bremen,2,1,0,2.69,3.28,2.82,g_1_M7AO7VZh,0.2,1.54
football,Bundesliga,Round 23,22/02/,Freiburg,B. Monchengladbach,2,1,0,2.15,3.33,3.78,g_1_AmPlehjm,1.73,0.71
football,Bundesliga,Round 24,01/03/,Dortmund,Bayern Munich,2,3,2,4.41,4.6,1.7,g_1_dQO6K8Jb,1.05,2.06
football,Bundesliga,Round 24,28/02/,B. Monchengladbach,Union Berlin,1,0,0,2.4,3.37,3.16,g_1_MkHhB4to,3.02,0.14
football,Bundesliga,Round 24,28/02/,Bayer Leverkusen,Mainz,1,1,1,1.71,4.34,4.65,g_1_pnel2R3U,1.28,0.74
football,Bundesliga,Round 24,28/02/,Hoffenheim,St. Pauli,0,1,2,1.55,4.47,6.19,g_1_re2mXo34,2.8,0.79
football,Bundesliga,Round 24,28/02/,Werder Bremen,Heidenheim,2,0,0,1.63,4.4,5.33,g_1_UixEInlB,2.7,1.37
football,Bundesliga,Round 24,28/02/,Augsburg,FC Koln,2,0,0,2.18,3.49,3.5,g_1_xbauZ7Yi,1.47,0.49
