sports,league,round,date,home team,away team,home team total goal,away team total goal,result,odds_1,odds_x,odds_2,match_id,home_xg,away_xg
football,Eredivisie 2024 2025,Round 26,16/03/,Twente,Feyenoord,2,6,2,2.61,3.59,2.71,g_1_h8UofZWQ,1.08,3.93
football,Eredivisie 2024 2025,Round 26,16/03/,G.A. Eagles,Willem II,1,0,0,1.49,4.44,7.39,g_1_p69QniP0,0.99,0.19
football,Eredivisie 2024 2025,Round 26,16/03/,Heerenveen,Heracles,1,1,1,1.87,3.74,4.36,g_1_WEHD8YoK,1.23,0.39
football,Eredivisie 2024 2025,Round 26,16/03/,Waalwijk,PSV,0,3,2,8.57,6.16,1.33,g_1_48PRpVgD,0.12,2.0
football,Eredivisie 2024 2025,Round 26,16/03/,Sparta Rotterdam,Zwolle,1,1,1,1.74,3.92,4.96,g_1_Gngp3C9s,1.6,0.82
football,Eredivisie 2024 2025,Round 26,16/03/,Utrecht,Nijmegen,0,1,2,1.78,3.8,4.88,g_1_ChBIlDfl,1.75,1.53
football,Eredivisie 2024 2025,Round 26,15/03/,Almere City,NAC Breda,1,1,1,2.28,3.5,3.27,g_1_4nliYiA7,1.44,0.83
football,Eredivisie 2024 2025,Round 25,10/03/,Twente,Almere City,1,0,0,1.3,6.38,9.33,g_1_6FYSyFgo,1.86,0.71
football,Eredivisie 2024 2025,Round 25,09/03/,Nijmegen,G.A. Eagles,2,3,2,2.59,3.57,2.74,g_1_j3fUuqCG,0.6,2.77
football,Eredivisie 2024 2025,Round 25,09/03/,Zwolle,Ajax,0,1,2,6.37,4.28,1.57,g_1_lbMfd4dc,0.44,2.44
football,Eredivisie 2024 2025,Round 25,09/03/,Willem II,Utrecht,2,3,2,3.6,3.6,2.1,g_1_GCxyxzBr,1.11,1.61
football,Eredivisie 2024 2025,Round 25,09/03/,PSV,Heerenveen,2,1,0,1.25,7.2,11.3,g_1_pQF3frR9,2.93,0.71
football,Eredivisie 2024 2025,Round 25,09/03/,Sittard,Heracles,1,0,0,2.43,3.58,2.95,g_1_fy1Ls5s4,2.48,0.19
football,Eredivisie 2024 2025,Round 25,08/03/,NAC Breda,Sparta Rotterdam,1,1,1,3.45,3.3,2.29,g_1_bTcxvNtT,1.06,0.96
football,Eredivisie 2024 2025,Round 24,03/03/,Sparta Rotterdam,Willem II,4,0,0,1.71,3.84,5.38,g_1_EHglqc1B,2.2,0.28
football,Eredivisie 2024 2025,Round 24,02/03/,Almere City,Ajax,0,1,2,6.45,4.65,1.51,g_1_zcRmGbXO,0.68,0.67
football,Eredivisie 2024 2025,Round 24,02/03/,Heracles,Zwolle,4,2,0,2.3,3.47,3.24,g_1_pSpWSyHU,2.91,0.74
football,Eredivisie 2024 2025,Round 24,02/03/,Heerenveen,AZ Alkmaar,3,1,0,3.8,3.41,2.1,g_1_6ijtoJWb,1.92,1.14
football,Eredivisie 2024 2025,Round 24,02/03/,Feyenoord,Nijmegen,0,0,1,1.48,4.9,6.71,g_1_tzlFWJH5,1.1,0.21
football,Eredivisie 2024 2025,Round 24,02/03/,Groningen,Twente,1,1,1,4.22,3.43,1.99,g_1_ENdbz2It,1.15,1.4
football,Eredivisie 2024 2025,Round 24,02/03/,G.A. Eagles,PSV,3,2,0,6.43,4.88,1.49,g_1_l0iNUcnI,1.95,1.25
football,Eredivisie 2024 2025,Round 24,02/03/,Utrecht,NAC Breda,1,0,0,1.59,4.38,5.81,g_1_KKa6Yumg,2.31,0.5
football,Eredivisie 2024 2025,Round 24,01/03/,Waalwijk,Sittard,1,2,2,2.23,3.61,3.28,g_1_0vLumu2n,1.38,2.33
football,Eredivisie 2024 2025,Round 23,24/02/,AZ Alkmaar,Sittard,1,0,0,1.3,5.61,11.8,g_1_0bqIPB4L,1.44,0.49
football,Eredivisie 2024 2025,Round 20,23/02/,Ajax,G.A. Eagles,2,0,0,1.49,5.1,6.65,g_1_xUmZKSH0,1.9,0.23
football,Eredivisie 2024 2025,Round 20,23/02/,Twente,Nijmegen,2,0,0,1.53,4.55,5.6,g_1_UHPayl2s,2.21,1.6
football,Eredivisie 2024 2025,Round 20,23/02/,Feyenoord,Almere City,2,1,0,1.25,6.43,13.4,g_1_xrT7ZRWg,2.16,1.0
football,Eredivisie 2024 2025,Round 23,17/02/,Ajax,Heracles,4,0,0,1.35,5.85,8.48,g_1_hYuARXZ8,2.64,0.46
football,Eredivisie 2024 2025,Round 23,16/02/,Twente,Waalwijk,2,0,0,1.37,6.11,7.35,g_1_4QvlKkSr,1.7,0.74
football,Eredivisie 2024 2025,Round 23,16/02/,Zwolle,Heerenveen,1,1,1,2.77,3.58,2.5,g_1_K0yPL23m,0.79,1.29
football,Eredivisie 2024 2025,Round 23,16/02/,Nijmegen,Almere City,2,2,1,1.59,4.19,6.13,g_1_Y5W4G7R7,1.04,0.72
football,Eredivisie 2024 2025,Round 23,16/02/,Willem II,Groningen,1,3,2,2.82,2.94,2.97,g_1_2qTuIK2C,0.8,1.61
football,Eredivisie 2024 2025,Round 23,16/02/,NAC Breda,Feyenoord,0,0,1,5.83,4.58,1.56,g_1_0COjvBJE,1.83,2.05
football,Eredivisie 2024 2025,Round 23,16/02/,PSV,Utrecht,2,2,1,1.36,5.64,8.55,g_1_6HZWJtYa,3.34,1.47
football,Eredivisie 2024 2025,Round 23,15/02/,G.A. Eagles,Sparta Rotterdam,1,0,0,2.13,3.76,3.39,g_1_xvwdITde,0.94,0.84
football,Eredivisie 2024 2025,Round 22,10/02/,AZ Alkmaar,Zwolle,2,0,0,1.35,5.6,9.01,g_1_v9v00eyA,2.0,0.61
football,Eredivisie 2024 2025,Round 22,10/02/,Heerenveen,Twente,3,3,1,3.64,3.86,2.01,g_1_Cx3N3Us2,1.86,1.05
football,Eredivisie 2024 2025,Round 22,09/02/,Sittard,Ajax,0,2,2,6.94,4.87,1.47,g_1_hC4ZEfj3,0.67,2.35
football,Eredivisie 2024 2025,Round 22,09/02/,Waalwijk,NAC Breda,5,0,0,2.32,3.84,2.95,g_1_4CaF5jDk,3.51,1.29
football,Eredivisie 2024 2025,Round 22,09/02/,Utrecht,Almere City,0,1,2,1.43,5.13,7.48,g_1_4jOvgDTq,0.86,0.94
football,Eredivisie 2024 2025,Round 22,09/02/,Feyenoord,Sparta Rotterdam,3,0,0,1.47,4.87,6.94,g_1_Q5Cmiibd,1.58,0.81
football,Eredivisie 2024 2025,Round 22,09/02/,Groningen,Nijmegen,2,1,0,3.07,3.15,2.58,g_1_zyY8bZ5M,2.13,0.97
football,Eredivisie 2024 2025,Round 22,09/02/,PSV,Willem II,1,1,1,1.16,9.19,16.6,g_1_MidjBCkS,0.94,0.68
football,Eredivisie 2024 2025,Round 22,09/02/,Heracles,G.A. Eagles,4,2,0,3.0,3.5,2.43,g_1_lvbrDYKF,1.74,0.73
football,Eredivisie 2024 2025,Round 21,03/02/,Willem II,AZ Alkmaar,0,2,2,6.19,3.71,1.66,g_1_6eth2H6c,0.22,2.27
football,Eredivisie 2024 2025,Round 21,03/02/,Sparta Rotterdam,Groningen,1,0,0,1.78,3.78,4.85,g_1_jmb5vEEj,0.86,1.05
football,Eredivisie 2024 2025,Round 21,02/02/,Ajax,Feyenoord,2,1,0,2.1,3.69,3.52,g_1_x44rn5Ga,2.91,0.74
football,Eredivisie 2024 2025,Round 21,02/02/,G.A. Eagles,Twente,2,2,1,2.7,3.8,2.52,g_1_x2PORzVp,1.48,1.98
football,Eredivisie 2024 2025,Round 21,02/02/,Almere City,Waalwijk,1,4,2,0.0,0.0,0.0,g_1_pU7jpqoC,1.51,2.51
football,Eredivisie 2024 2025,Round 21,02/02/,Nijmegen,PSV,3,3,1,6.87,4.43,1.52,g_1_UeCAkvNi,2.27,2.48
football,Eredivisie 2024 2025,Round 21,02/02/,Heerenveen,Sittard,2,2,1,1.79,3.89,4.61,g_1_f3czpziT,2.89,1.0
football,Eredivisie 2024 2025,Round 21,02/02/,Zwolle,Utrecht,3,3,1,3.05,3.56,2.37,g_1_Ym9RodMG,0.7,2.2
football,Eredivisie 2024 2025,Round 21,01/02/,NAC Breda,Heracles,1,1,1,1.78,3.7,5.09,g_1_QN5JmIi4,1.54,1.26
football,Eredivisie 2024 2025,Round 17,29/01/,Heracles,Groningen,1,1,1,3.12,1.65,7.9,g_1_YBPelzQO,1.84,1.09
